1800,-0.00157317 
3600,-0.00156372 
5400,-0.00157484 
7200,-0.001579695    
9000,-0.00157419 
10800,-0.001584075    
12600,-0.001579195    
14400,-0.00157503 
16200,-0.00162042 
18000,-0.00161861 
19800,7.42385E-05 
21600,0.00998005  
23400,0.02767395  
25200,0.050211    
27000,0.0823375   
28800,0.1257325   
30600,0.185316    
32400,0.2427775   
34200,0.3008985   
36000,0.3572155   
37800,0.4005865   
39600,0.44683 
41400,0.483706    
43200,0.518805    
45000,0.51896 
46800,0.515495    
48600,0.5251  
50400,0.527915    
52200,0.5088  
54000,0.4842925   
55800,0.4510255   
57600,0.403914    
59400,0.347409    
61200,0.3002285   
63000,0.2520005   
64800,0.208606    
66600,0.162805    
68400,0.1166275   
70200,0.073282    
72000,0.0462236   
73800,0.0227952   
75600,0.00687465  
77400,-0.001596825    
79200,-0.002298815    
81000,-0.00166709 
81000,-0.0015715  
82800,-0.001565755    
84600,-0.0015715
